step,ratio makespan
0,1.9315240507805391
50000,1.8361615707681325
100000,1.75817514888699
150000,1.644824797425675
200000,1.641747104525974
250000,1.5897688939833403
300000,1.562972100670478
350000,1.5410251809308908
400000,1.5561277078365603
450000,1.551336239001634
500000,1.507300058740676
550000,1.5148728727973
600000,1.4934161184713544
650000,1.481031729320082
700000,1.513044278541058
750000,1.5073350796633818
800000,1.5403984409776716
850000,1.5210234938199612
900000,1.509185241374133
950000,1.5217777325562594
1000000,1.5075776645127257
1050000,1.500484347971318
1100000,1.479979430094085
1150000,1.4036792399865503
1200000,1.3962699027841494
1250000,1.3101964912008324
1300000,1.266366676126739
1350000,1.2999170704537752
1400000,1.277360441156799
1450000,1.3027077953935828
1500000,1.2882933473213242
1550000,1.2751832978524708
1600000,1.311095619022907
1650000,1.3042220253534986
1700000,1.2602347552075277
1750000,1.2728205384201951
1800000,1.2651221467785036
1850000,1.2745196318689404
1900000,1.3096264578734142
1950000,1.2541725586812724
2000000,1.305679661615928
2050000,1.2549835862237663
2100000,1.3040610438699697
2150000,1.257068062459432
2200000,1.2530671522029734
2250000,1.258447572742236
2300000,1.2504483541924504
2350000,1.305942664714347
2400000,1.306012566378638
2450000,1.2505843702634875
2500000,1.2601477369662488
2550000,1.3035637672404673
2600000,1.3008082054658602
2650000,1.2537130604039878
2700000,1.3051075984420747
2750000,1.2997698831805474
2800000,1.2901019827164594
2850000,1.2668716071472267
2900000,1.2958278635839616
2950000,1.2677903861329295
3000000,1.29410191616027
3050000,1.3047886562284626
3100000,1.2939341710049265
3150000,1.2686281891947097
3200000,1.3038083036144866
3250000,1.2745572898302683
3300000,1.2990885458007971
3350000,1.3094770182116603
3400000,1.3053185711152388
3450000,1.2959182323297306
3500000,1.2974867236110211
3550000,1.2904020073337516
3600000,1.279233304237669
3650000,1.2992526883126713
3700000,1.3084462590080784
3750000,1.2977607869689844
3800000,1.2996077334548802
3850000,1.2671105524324184
3900000,1.2644630758444046
3950000,1.2697769807814276
4000000,1.2931693438162512
